slot,ue_0,ue_1,ue_2,ue_3,ue_4,ue_5
255,1,0,1,1,1,0
256,1,0,1,1,1,0
257,0,0,1,1,1,1
258,0,0,1,1,1,1
259,0,0,1,1,1,1
260,0,0,1,1,1,1
261,0,1,1,1,1,0
262,0,1,1,1,1,0
263,0,1,1,1,1,0
264,1,1,1,1,0,0
265,1,1,1,1,0,0
266,1,1,1,1,0,0
267,1,1,1,1,0,0
268,1,1,1,1,0,0
269,1,1,1,1,0,0
270,1,1,1,1,0,0
271,1,1,0,1,1,0
272,1,1,0,1,1,0
273,1,1,1,1,0,0
274,1,1,1,0,1,0
275,1,1,1,1,0,0
276,1,1,1,1,0,0
277,1,1,1,1,0,0
278,1,1,1,1,0,0
279,0,1,1,1,1,0
280,1,1,1,1,0,0
281,1,1,1,1,0,0
282,1,1,1,1,0,0
283,1,1,1,1,0,0
284,1,1,1,1,0,0
285,1,1,1,1,0,0
286,1,1,1,1,0,0
287,1,1,1,1,0,0
288,1,1,1,1,0,0
289,1,1,1,1,0,0
290,1,1,1,1,0,0
291,1,1,1,1,0,0
292,1,1,1,1,0,0
293,1,1,1,1,0,0
294,1,1,1,1,0,0
295,1,1,1,1,0,0
296,1,1,1,1,0,0
297,1,1,1,1,0,0
298,1,1,1,1,0,0
299,1,1,1,1,0,0
